Bus,X,Y
mv_f0_n237,4279.228212,5252.242601
mv_f0_n238,3326.208134,1692.677061
mv_f0_n239,5348.360496,6773.05097
mv_f0_n240,5946.028987,5446.319179
mv_f0_n241,8343.581025,4189.376519
mv_f0_n242,3268.125101,1771.116803
mv_f0_n243,5236.026514,5107.455882
mv_f0_n244,5924.361534,5391.836626
mv_f0_n245,6396.810998,5109.899139
mv_f0_n246,5983.506071,5446.297462
mv_f0_n247,6101.862152,5234.613158
mv_f0_n248,4834.950598,5376.417297
mv_f0_n249,4662.703646,5157.261595
mv_f0_n250,1111.784256,2249.936453
mv_f0_n251,5090.735264,4916.255472
mv_f0_n252,3941.145486,5204.173624
mv_f0_n253,4950.627429,5139.795264
mv_f0_n254,5740.237904,6719.8436
mv_f0_n255,5041.112388,4931.81078
mv_f0_n256,3465.135938,3134.277145
mv_f0_n257,3492.870882,5228.729659
mv_f0_n258,6198.321656,6306.015119
mv_f0_n259,4805.279979,5148.663742
mv_f0_n260,5054.47946,4968.996033
mv_f0_n261,2838.851416,1606.045177
mv_f0_n262,5549.024365,5789.733199
mv_f0_n263,3827.010927,5209.350552
mv_f0_n264,6326.329092,4650.968319
mv_f0_n265,6303.550599,6690.310112
mv_f0_n266,6386.470107,4653.724501
mv_f0_n267,4328.105351,6343.635651
mv_f0_n268,2707.701076,2158.799827
mv_f0_n269,5090.815242,5020.56213
mv_f0_n270,4695.792768,6331.729854
mv_f0_n271,5068.83004,6872.761363
mv_f0_n272,6397.810998,5110.23236
mv_f0_n273,4962.109623,5827.576188
mv_f0_n274,3653.042293,5219.448672
mv_f0_n275,6395.810998,5110.236407
mv_f0_n276,3186.359865,2457.702243
mv_f0_n277,2586.711388,1558.523793
mv_f0_n278,5202.306217,6863.13881
mv_f0_n279,5471.221264,5794.707815
mv_f0_n280,6594.667003,6525.159207
mv_f0_n281,5589.188265,6249.796706
mv_f0_n282,6246.072623,5055.568362
mv_f0_n283,5262.308892,6822.653495
mv_f0_n284,6304.550599,6688.77824
mv_f0_n285,5705.588137,5842.035855
mv_f0_n286,5049.360892,5821.669707
mv_f0_n287,4897.50283,6826.514953
mv_f0_n288,6124.368289,6293.309705
mv_f0_n289,5098.510387,5598.013433
mv_f0_n290,4879.187953,6800.466533
mv_f0_n291,6476.954814,4890.518193
mv_f0_n292,4974.000351,5429.276741
mv_f0_n293,2865.90248,1659.86495
mv_f0_n294,3839.368551,4092.108767
mv_f0_n295,4963.261733,5827.338843
mv_f0_n296,5249.093129,6860.609463
mv_f0_n297,3233.255684,1082.272382
mv_f0_n298,5127.163993,5816.695967
mv_f0_n299,6364.891278,6692.634729
mv_f0_n300,5650.827239,6281.156929
mv_f0_n301,4320.643654,5354.569047
mv_f0_n302,5267.961364,6850.309031
mv_f0_n303,5363.469783,5801.59433
mv_f0_n304,5893.933289,6716.454205
mv_f0_n305,2978.703358,1945.654877
mv_f0_n306,5892.214851,5317.400434
mv_f0_n307,5690.375095,6303.153839
mv_f0_n308,2369.053355,438.823602
mv_f0_n309,4557.144813,4857.612111
mv_f0_n310,1637.346431,1862.214633
mv_f0_n311,5355.608198,6259.993792
mv_f0_n312,5230.417272,5810.097595
mv_f0_n313,6340.2733,6692.625095
mv_f0_n314,3018.182045,2047.949794
mv_f0_n315,5895.104853,5318.179031
mv_f0_n316,6010.490955,6267.78327
mv_f0_n317,5105.697566,1996.888166
mv_f0_n318,4887.484011,6823.501281
mv_f0_n319,6524.005688,5009.777373
mv_f0_n320,4804.382933,6610.296954
mv_f0_n321,5461.479124,6226.275005
mv_f0_n322,5335.341435,6768.454705
mv_f0_n323,3398.168472,3023.946437
mv_f0_n324,5631.109511,5778.032342
mv_f0_n325,5961.023711,6717.667206
mv_f0_n326,5061.817948,6872.462711
mv_f0_n327,4710.072017,6362.688955
mv_f0_n328,5770.942828,6328.994691
mv_f0_n329,5452.428683,6181.951879
mv_f0_n330,6344.390815,4596.457918
mv_f0_n331,6263.620147,6696.868407
mv_f0_n332,5927.539024,6284.059372
mv_f0_n333,3309.864777,1052.010688
mv_f0_n334,6542.190872,5035.910747
mv_f0_n335,6825.689947,5340.342346
mv_f0_n336,5105.185276,1996.374939
mv_f0_n337,1667.213752,2506.424316
mv_f0_n338,5612.891625,1983.618443
mv_f0_n339,5404.414006,6158.121893
mv_f0_n340,4850.411138,6719.420582
mv_f0_n341,6216.517647,6700.562585
mv_f0_n342,5835.863046,6309.222345
mv_f0_n343,5373.112945,6273.120212
mv_f0_n344,8488.295139,4185.22254
mv_f0_n345,2938.552175,2638.918179
mv_f0_n346,5294.723608,6101.642487
mv_f0_n347,6177.570704,6549.818588
mv_f0_n348,4179.068122,5187.308975
mv_f0_n349,3568.46271,1605.433195
mv_f0_n350,6052.079321,5263.994255
mv_f0_n351,6084.208712,6712.109299
mv_f0_n352,2583.436629,993.88563
mv_f0_n353,3625.806669,3547.115957
mv_f0_n354,3326.208134,1690.811968
mv_f0_n355,4128.239925,6291.598983
mv_f0_n356,5357.925388,6135.056491
mv_f0_n357,5904.613545,5309.729191
mv_f0_n358,1767.152534,2435.641398
mv_f0_n359,5771.588507,5945.951253
mv_f0_n360,4260.318655,5253.778954
mv_f0_n361,6396.810998,5111.764232
mv_f0_n362,5371.779611,6274.96839
mv_f0_n363,6101.531434,5065.087569
mv_f0_n364,5466.742516,6189.052968
mv_f0_n365,6099.434723,5065.227699
mv_f0_n366,6861.037897,5353.148479
mv_f0_n367,6011.623611,5291.429086
mv_f0_n368,6231.387002,6545.860791
